lv2.1.6,lv2.1.9,lv2.2.11,lv2.2.12,lv2.2.2,lv2.2.3,lv2.2.6,lv3.1.26,lv4.1.6,lv4.2.11,lv4.2.8,lv4.2.9,lv4.4.14,lv4.4.1,lv4.4.2.17,lv4.4.3,lv6.1.1,lv6.2.12,lv6.2.18,lv6.2.20,lv6.2.5,lv6.4.12,lv6.4.17,lv6.4.1,lv6.5.2,lv6.5.4,lv6.6.11,lv6.6.19,lv6.6.1,lv6.6.20,lv7.1.1,lv7.3.18,lv7.3.19,lv7.3.24,lv7.3.25,lv7.3.3,lv7.3.5,lv7.3.7,lv7.3.8,lv10.2.12,lv13.2.12,lv13.2.3,lv13.2.9,lv13.3.10,lv13.3.3,lv13.3.4,lv13.3.9,lv14.1.10,lv14.1.11,lv14.1.13,lv14.1.18,lv14.1.23,lv18.1.4,lv18.2.12,lv18.2.3,lv18.2.4,lv18.2.6,lv18.3.10,lv18.3.11,lv18.3.5,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv13,lv14,lv15,lv16,lv17,lv18,lv26,lv31,lv32,lv33,lv39,lv45,lv60,lv63,lv64,lv66,lv73,lv79,lv81,lv96,lv97,lv99,lv103,lv109,lv111,lv113,lv115,lv116,lv121,lv125,lv153,lv154,lv157,lv160,lv167,lv170
0,0,0,2,3,0,0,1,2,439,142,191,0,0,146,0,0,115,0,0,903,0,91,0,0,0,67,2,1,0,0,141,0,1,280,0,1,1,0,0,1,1,260,275,0,0,135,1,0,0,55,0,0,1,0,0,60,0,0,0,0,1,25,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,37,0,66,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0
41,0,254,0,80,125,0,0,10,0,0,0,1,0,0,1,0,1,0,19,293,9,51,0,0,0,54,0,0,0,26,73,0,73,164,0,86,3,16,55,0,0,250,200,0,145,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,236,69,56,37,21,95,81,103,85,87,75,47,35,96,44,66,98,227,290,97,31,100,198,101,16,146,11,105,7,98,43,33,85,25,41,12,7,23,26,67,86,138,29,68,50,26,11,20,16,126,14,48,5,99,33,1,9,68,0,0,0,0,0,7,14,0,11,0,0,0,3,0,0,2,0,1,14,5,14,0,1,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,12,0,0,1,0,0,0
35,38,28,18,24,10,14,22,1,46,26,29,17,21,5,14,45,13,23,50,29,26,5,19,45,14,19,22,23,18,6,17,34,18,18,11,3,13,15,22,12,20,24,27,11,13,5,9,16,5,21,25,21,20,17,31,25,1,30,29,62,25,15,40,64,30,55,82,27,43,108,23,100,44,74,47,52,76,41,71,49,42,60,36,7,57,46,45,34,24,95,54,15,25,14,41,91,37,33,16,48,2,36,46,46
13,0,256,89,74,53,31,171,52,107,124,104,73,68,57,66,3,65,112,220,253,185,38,114,149,108,41,160,20,150,17,73,62,32,86,27,39,16,14,23,27,58,133,140,31,92,45,30,8,18,43,60,55,35,26,128,82,1,12,72,0,0,1,5,2,0,1,0,6,26,0,0,0,16,0,0,1,9,9,39,42,0,25,13,12,9,0,0,16,0,0,4,0,0,31,1,41,1,7,0,0,148,1,8,4
2,2,104,31,28,39,15,45,30,74,172,39,2,17,0,0,40,52,51,168,55,60,12,0,1,82,14,55,5,56,29,39,40,3,0,23,0,6,0,12,23,64,52,2,12,0,1,14,13,14,20,97,39,0,7,70,0,0,20,51,0,0,0,0,1,0,0,0,3,6,3,2,0,1,0,4,7,6,0,0,0,0,0,5,7,2,1,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,66,0,1
0,0,0,0,0,15,0,2,0,0,0,0,0,0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,86,1,0
0,49,90,66,45,34,58,193,40,92,0,49,91,41,55,95,0,0,2,1,116,0,26,109,264,0,20,127,0,79,1,15,8,14,149,0,86,5,11,2,1,1,82,178,0,88,57,0,0,35,0,0,5,31,10,0,31,2,0,15,0,0,0,0,0,6,1,5,0,6,0,0,3,0,0,0,0,1,27,2,50,0,2,11,0,10,0,9,0,1,0,0,1,1,0,0,13,2,0,12,15,19,11,19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0
0,0,16,1,0,7,0,28,2,15,2,7,12,0,2,0,8,17,23,26,42,27,14,23,86,49,5,11,0,0,0,6,15,3,2,5,0,4,0,0,9,8,0,7,16,7,4,2,6,4,0,21,1,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
